Desagrado;Que mal. Pero por otro lado como se dice hay que vivir en sangre propia para saber como se siente. Y ahora saben #NoMasViolencia #Renunciapiñera #Noestamosenguerra #ONUhttps://twitter.com/inddhh/status/1189291617238298624 …[ URGENTE] Observador del INDH se encuentra herido por siete balines disparados contra su cuerpo, es trasladado de urgencia a un centro asistencial desde la Alameda pic.twitter.com/h9dX7nwqKF
Desagrado;Esto es el colmo!!! #noestamosenguerra #ChileJustohttps://twitter.com/inddhh/status/1189291617238298624 …[ URGENTE] Observador del INDH se encuentra herido por siete balines disparados contra su cuerpo, es trasladado de urgencia a un centro asistencial desde la Alameda pic.twitter.com/h9dX7nwqKF
Miedo;Osea, si carabineros le dispararon aún observador de los DDHH, que nos queda a nosotros.#LaMarchaMasGrandeDeChile2 #ChileDesperto #Noestamosenguerra https://twitter.com/inddhh/status/1189291617238298624 …[ URGENTE] Observador del INDH se encuentra herido por siete balines disparados contra su cuerpo, es trasladado de urgencia a un centro asistencial desde la Alameda pic.twitter.com/h9dX7nwqKF
Desagrado;@sebastianpinera no entiende nada Brutito @biobio agreden a un integrante del #INDH #Noestamosenguerra #NoMasViolencia #ChileDespertohttps://twitter.com/inddhh/status/1189291617238298624 …[ URGENTE] Observador del INDH se encuentra herido por siete baline
Confianza;Vamos con todo #ChiquillEs #LaMarchaMasGrandeDeChile2  #NoEstamosEnGuerra https://twitter.com/juan_ecorrea/status/1189270161578180608 …Hoy marcha, #CerroBarón, #VanBuren, #PlazaVictoria a #GustavoFricke #Salud #ViñaValpo #EstoNoHaTerminado @colmedchile @CHVNoticias @RitoqueFM @aprusam pic.twitter.com/pVaNm1fXsj
ira;Esto es Fake de los pacos qlsPara eso sirven para montajesPará reprimir parvulariasPero para detener saqueos e incendios desaparecen#RENUNCIAPIÑERA #Noestamosenguerra#marchapacifica@TVN @24HorasTVN @canal13 @chilevision @meganoticiascl @MegafonoPopular @PiensaPrensapic.twitter.com/Ean4O1P3DN
Desagrado;#Noestamosenguerra #ChileSomosTodoshttps://twitter.com/PiensaPrensa/status/1188955315024355328 …#Chile: Seis Carabineros contra una joven manifestante  #Santiagovía @FleurDelacourje pic.twitter.com/AuKyFjU9u8
Desagrado;#Antofagasta #ChileSomosTodos #Noestamosenguerra https://twitter.com/Genesis_PP/status/1189285532834156544 …MÁXIMA DIFUSIÓN: en #Antofagasta detienen d forma ilegal a joven q transitaba en la calle. Marcelo Pérez se llama y supuestamente le hicieron control d identidad pero lo detuvieron. X el centro de Ricaventura …
Desagrado;LE PASA ALGO POR SU IRRESPONSABLE ACTUAR MIRE EN ESTO TERMINO SU CONVOCACIÓN A MARCHA AYER LUNES.#QueremosVivirEnPaz #NoMasViolencia #Noestamosenguerra pic.twitter.com/vov95vNSUy
Miedo;La patria no es más que su gente, y hoy la gente de Chile está en peligro de perderlo todo. Nuestros derechos fundamentales sí valen la pena. Defenderlos con uñas y dientes es lo que nos queda. #RenunciaPiñera #AcusacionConstitucional #Noestamosenguerra https://twitter.com/fuedicho/status/1189223327245787138 …“Cuando la patria esta en peligro, todo esta permitido, excepto, no defenderla”.José de San Martín#Fuedicho pic.twitter.com/bbGDBmxcWW
Alegria;Maravilloso ver como se reune tanta tanta gente a manifestarse pacíficamente #ChileDesperto #NoTenemosMiedo #Noestamosenguerra
Desagrado;Declaramos en R3b3ld14 a todos los que hoy están en la calle (Chile) #renunciapiñera #fuerzachile  #todosjuntos  #resistencia #chile #chiledesperto #nosdeclaramosenrebeldía #elderechodevivirenpaz #marcha #noestamosenguerra #nomasabusos #chileunido #libertad #derechoshumanospic.twitter.com/Oi6fTtzKjE
Confianza;Adheridas al paro nacional!!!  #ParoNacional #PuenteAlto #Noestamosenguerra pic.twitter.com/j9INnJLwUo
Miedo;Hoy empieza otra “guerra” contra los que queremos un cambio .. reduccion de sueldos ,atrasos en pago de sueldo ,recortes de hora de trabajo  y aumentos de horas sin remuneracion !!Con gusto !! Me apreto el cinturon  si eso significa cambios de verdad!! #marcha #Noestamosenguerra
Desagrado;Que personaje más nefasto el innombrable! No le respondan por favor! Ignórenlo! No vale la pena #ChileEnHuelga #NoEstamosEnGuerra
Desagrado;A mi madre una R3b3LD3 y a todas las mujeres de Chile por resistir. #renunciapiñera #fuerzachile  #todosjuntos  #resistencia #chiledesperto #nosdeclaramosenrebeldía #elderechodevivirenpaz  #noestamosenguerra #nomasabusos #chileunido #mujer #libertad #derechoshumanos #dignidadpic.twitter.com/3qLKgmXSiT
Tristeza;Compartiré  estas imágenes que me enviaron. Por todos los que han muerto en la lucha, a los torturados, los desaparecidos, los golpeados, abusados, vulnerados sus #DDHH  atacados por las #FuerzasArmadasSinGloria amparadas por #PiñeraviolaDDHH #Noestamosenguerra pic.twitter.com/wg4ecCieUQ
Desagrado;Sin justicia no hay paz! Hoy en Barcelona condenamos la violencia Estatal en Chile y conmemoramos a lxs caídos en la lucha#ChileDesperto #ChileDespertoBCN#DestituciónConstitucionalAPiñera#EstoNoHaTerminado#ChileNoSeRinde#ResisteChile#NoEstamosEnGuerra#SeguimosEnLaLuchapic.twitter.com/6Y7WeX1r9a
Desagrado;Declaramos en R3b3ld14 al hermano que clama dignidad (Chile) #renunciapiñera #fuerzachile #revolucion #todosjuntos  #resistencia #chile #chiledesperto #nosdeclaramosenrebeldía #elderechodevivirenpaz #marcha #noestamosenguerra #nomasabusos #chileunido #libertad #derechoshumanospic.twitter.com/Vz2kOmRRXu
Desagrado;Declaramos en R3b3ld14 a la combatiente anónima (Chile) #renunciapiñera #fuerzachile #revolucion #todosjuntos  #resistencia #chiledesperto #nosdeclaramosenrebeldía #elderechodevivirenpaz  #noestamosenguerra #nomasabusos #chileunido #mujer #libertad #derechoshumanos #dignidadpic.twitter.com/PYBnyR8VkT
Desagrado;#EstoNoHaTerminado#ChileNoSeRinde#FuerzaChile  #AwanteValpo#AcusacionConstitucionalAPiñera#RenunciaPiñera#NoEstamosEnGuerra#PacosCSM #ONU#ElPuebloUnidoJamasSeraVencido https://twitter.com/JLPerezOnline/status/1189285429905936384 …Así terminó la marcha. Manifestantes ahora dispersos por calle aledañas a Pedro Montt en Valparaíso @Cooperativa #CooperativaTeSuma #CooperativaRegiones pic.twitter.com/VNSoaVej3t
